"filename", "language", "Python", "JSON", "XML", "C++", "CMake", "YAML", "CMake Cache", "Log", "Markdown", "C", "PostCSS", "Batch", "JavaScript", "HTML", "Shell Script", "Makefile", "comment", "blank", "total"
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00002.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 239, 0, 0, 5, 6, 250
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00002_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 250, 0, 0, 5, 3, 258
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00005_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 468, 0, 0, 5, 3, 476
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00008_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 5, 3, 104
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00011_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 156, 0, 0, 5, 3, 164
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00014_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 879, 0, 0, 5, 3, 887
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00017_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 756, 0, 0, 5, 3, 764
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00020_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 236, 0, 0, 5, 3, 244
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00023_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 5, 3, 132
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00026_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 5, 3, 112
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00029_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 305, 0, 0, 5, 3, 313
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00032_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1224, 0, 0, 5, 3, 1232
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00035_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 143, 0, 0, 5, 3, 151
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00038_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 5, 3, 98
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00041.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 5, 6, 91
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00041_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 251, 0, 0, 5, 3, 259
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00044.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 5, 6, 91
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00044_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 234, 0, 0, 5, 3, 242
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00047.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 5, 6, 91
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00047_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 236, 0, 0, 5, 3, 244
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00050.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 5, 6, 91
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00050_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 242, 0, 0, 5, 3, 250
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00053.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 5, 6, 91
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00053_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 258, 0, 0, 5, 3, 266
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00056.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 5, 6, 91
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00056_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 241, 0, 0, 5, 3, 249
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00059.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 5, 6, 91
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00059_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 246, 0, 0, 5, 3, 254
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00062.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 5, 6, 91
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00062_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 246, 0, 0, 5, 3, 254
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00065.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 5, 6, 91
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00065_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 263, 0, 0, 5, 3, 271
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00068.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 5, 6, 91
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00068_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 258, 0, 0, 5, 3, 266
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00071.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 5, 6, 91
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00071_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 376, 0, 0, 5, 3, 384
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00074.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 5, 6, 91
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00074_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 470, 0, 0, 5, 3, 478
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00077.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 5, 6, 91
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00077_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 500, 0, 0, 5, 3, 508
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00080.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 5, 6, 91
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00080_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 561, 0, 0, 5, 3, 569
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00083.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 0, 0, 5, 6, 126
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00083_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 0, 0, 5, 3, 129
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00086_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 202, 0, 0, 5, 3, 210
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00089.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 254, 0, 0, 5, 6, 265
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00089_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 301, 0, 0, 5, 3, 309
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00092.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 5, 6, 91
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00092_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 5, 3, 109
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00095.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 5, 6, 103
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00095_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 5, 3, 96
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00098.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 5, 6, 115
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00098_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 5, 3, 108
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00101.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 5, 6, 100
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00101_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 5, 3, 93
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00104.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 5, 6, 106
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00104_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 5, 3, 99
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00107.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 5, 6, 100
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00107_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 5, 3, 93
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00110.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 5, 6, 106
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00110_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 5, 3, 99
